#chr	start	stop	name	score	strand	p.value
chr1	10535	10746	site1	14.9273	-	5.48e-06
chr1	10536	10747	site2	15.4364	+	3.1e-06
chr1	10541	10752	site3	16.7455	-	1.43e-06
chr1	10542	10753	site4	15.1273	+	4.53e-06
chr1	10564	10775	site5	14.9273	-	5.48e-06
chr1	10565	10776	site6	15.4364	+	3.1e-06
chr1	10570	10781	site7	16.7455	-	1.43e-06
chr1	10571	10782	site8	15.1273	+	4.53e-06
chr1	10593	10804	site9	14.9273	-	5.48e-06
chr1	10594	10805	site10	15.4364	+	3.1e-06
chr1	10599	10810	site11	16.7455	-	1.43e-06
chr1	10600	10811	site12	15.1273	+	4.53e-06
chr1	10622	10833	site13	14.9273	-	5.48e-06
chr1	10623	10834	site14	15.4364	+	3.1e-06
chr1	10628	10839	site15	16.7455	-	1.43e-06
chr1	10629	10840	site16	15.1273	+	4.53e-06
chr1	10651	10862	site17	14.9273	-	5.48e-06
chr1	10652	10863	site18	15.4364	+	3.1e-06
chr1	10657	10868	site19	16.7455	-	1.43e-06
chr1	10658	10869	site20	15.1273	+	4.53e-06
chr1	10680	10891	site21	14.9273	-	5.48e-06
chr1	10681	10892	site22	15.4364	+	3.1e-06
chr1	10686	10897	site23	16.7455	-	1.43e-06
chr1	10687	10898	site24	15.1273	+	4.53e-06
chr1	10729	10940	site25	16.7455	-	1.43e-06
chr1	10730	10941	site26	15.1273	+	4.53e-06
chr1	10752	10963	site27	14.9273	-	5.48e-06
chr1	10753	10964	site28	15.4364	+	3.1e-06
chr1	10758	10969	site29	16.7455	-	1.43e-06
chr1	10759	10970	site30	15.1273	+	4.53e-06
chr1	10805	11016	site31	16.7455	-	1.43e-06
chr1	10806	11017	site32	15.1273	+	4.53e-06
chr1	10828	11039	site33	14.9273	-	5.48e-06
chr1	10829	11040	site34	15.4364	+	3.1e-06
chr1	10834	11045	site35	16.7455	-	1.43e-06
chr1	10835	11046	site36	15.1273	+	4.53e-06
chr1	10881	11092	site37	16.7455	-	1.43e-06
chr1	10882	11093	site38	15.1273	+	4.53e-06
chr1	142292	142503	site39	15.5455	+	2.86e-06
chr1	181050	181261	site40	16.7455	-	1.43e-06
chr1	181051	181262	site41	15.1273	+	4.53e-06
chr1	181073	181284	site42	14.9273	-	5.48e-06
chr1	181074	181285	site43	15.4364	+	3.1e-06
chr1	181079	181290	site44	16.7455	-	1.43e-06
chr1	181080	181291	site45	15.1273	+	4.53e-06
chr1	181102	181313	site46	14.9273	-	5.48e-06
chr1	181103	181314	site47	15.4364	+	3.1e-06
chr1	181108	181319	site48	16.7455	-	1.43e-06
chr1	181109	181320	site49	15.1273	+	4.53e-06
chr1	181137	181348	site50	16.7455	-	1.43e-06
chr1	181138	181349	site51	15.1273	+	4.53e-06
chr1	181166	181377	site52	16.7455	-	1.43e-06
chr1	181167	181378	site53	15.1273	+	4.53e-06
chr1	181189	181400	site54	14.9273	-	5.48e-06
chr1	181190	181401	site55	15.4364	+	3.1e-06
chr1	181195	181406	site56	16.7455	-	1.43e-06
chr1	181196	181407	site57	15.1273	+	4.53e-06
chr1	181218	181429	site58	14.9273	-	5.48e-06
chr1	181219	181430	site59	15.4364	+	3.1e-06
chr1	181224	181435	site60	16.7455	-	1.43e-06
chr1	181225	181436	site61	15.1273	+	4.53e-06
chr1	181318	181529	site62	16.7455	-	1.43e-06
chr1	181319	181530	site63	15.1273	+	4.53e-06
chr1	181395	181606	site64	16.7455	-	1.43e-06
chr1	181396	181607	site65	15.1273	+	4.53e-06
chr1	377194	377405	site66	16.7273	-	1.67e-06
chr1	377195	377406	site67	14.2182	+	9.54e-06
chr1	500901	501112	site68	15.5455	+	2.86e-06
chr1	605386	605597	site69	16.7273	-	1.67e-06
chr1	605387	605598	site70	14.2182	+	9.54e-06
chr1	742631	742842	site71	15.5455	+	2.86e-06
chr1	869859	870070	site72	14.3091	+	9.3e-06
chr1	940582	940793	site73	15.0364	-	5.01e-06
chr1	942328	942539	site74	14.4545	-	8.34e-06
chr1	959187	959398	site75	15.1273	+	4.53e-06
chr1	998620	998831	site76	14.6545	-	6.68e-06
chr1	1041245	1041456	site77	14.6182	-	7.63e-06
chr1	1041246	1041457	site78	16.7455	+	1.43e-06
chr1	1046664	1046875	site79	14.6182	-	7.63e-06
chr1	1053685	1053896	site80	15.5455	+	2.86e-06
chr1	1069240	1069451	site81	15.1273	-	4.53e-06
chr1	1069241	1069452	site82	17.7273	+	7.15e-07
chr1	1089089	1089300	site83	14.3091	+	9.3e-06
chr1	1113792	1114003	site84	14.5455	-	7.87e-06
chr1	1157870	1158081	site85	14.6182	-	7.63e-06
chr1	1197362	1197573	site86	15.0364	+	5.01e-06
chr1	1231440	1231651	site87	15.1273	+	4.53e-06
chr1	1232098	1232309	site88	17.2364	-	1.19e-06
chr1	1232099	1232310	site89	14.7273	+	6.44e-06
chr1	1232126	1232337	site90	18.2364	+	2.38e-07
chr1	1232328	1232539	site91	14.5273	+	8.11e-06
chr1	1238242	1238453	site92	14.9636	-	5.25e-06
chr1	1241365	1241576	site93	14.6182	+	7.63e-06
chr1	1250956	1251167	site94	14.3091	-	9.3e-06
chr1	1273899	1274110	site95	15.6545	+	2.38e-06
chr1	1292792	1293003	site96	15.5455	-	2.86e-06
chr1	1297057	1297268	site97	14.3091	-	9.3e-06
chr1	1297103	1297314	site98	14.3091	-	9.3e-06
chr1	1297191	1297402	site99	14.3091	-	9.3e-06
chr1	1297329	1297540	site100	14.3091	-	9.3e-06
chr1	1297417	1297628	site101	14.3091	-	9.3e-06
chr1	1297555	1297766	site102	14.3091	-	9.3e-06
chr1	1297641	1297852	site103	14.3091	-	9.3e-06
chr1	1308419	1308630	site104	17.7273	-	7.15e-07
chr1	1308420	1308631	site105	15.1273	+	4.53e-06
chr1	1324557	1324768	site106	18.2364	-	2.38e-07
chr1	1324558	1324769	site107	15.1273	+	4.53e-06
chr1	1327908	1328119	site108	14.6364	+	6.91e-06
chr1	1337070	1337281	site109	14.1636	-	9.78e-06
chr1	1428171	1428382	site110	14.6182	+	7.63e-06
chr1	1512051	1512262	site111	18.2364	+	2.38e-07
chr1	1574797	1575008	site112	14.9273	-	5.48e-06
chr1	1599873	1600084	site113	14.4545	-	8.34e-06
chr1	1615232	1615443	site114	18.2364	-	2.38e-07
chr1	1616138	1616349	site115	15.4364	-	3.1e-06
chr1	1630343	1630554	site116	16.4364	-	1.91e-06
chr1	1630344	1630555	site117	16.4364	+	1.91e-06
chr1	1642260	1642471	site118	18.2364	-	2.38e-07
chr1	1659147	1659358	site119	15.1273	-	4.53e-06
chr1	1659148	1659359	site120	17.7273	+	7.15e-07
chr1	1709392	1709603	site121	18.2364	-	2.38e-07
chr1	1724458	1724669	site122	15.1273	-	4.53e-06
chr1	1724459	1724670	site123	17.7273	+	7.15e-07
chr1	1778369	1778580	site124	18.2364	-	2.38e-07
chr1	1778370	1778581	site125	15.1273	+	4.53e-06
chr1	1778387	1778598	site126	14.8182	+	5.96e-06
chr1	1782509	1782720	site127	14.4364	-	8.58e-06
chr1	1782510	1782721	site128	15.0364	+	5.01e-06
chr1	1833408	1833619	site129	15.3273	+	3.34e-06
chr1	1980428	1980639	site130	18.2364	-	2.38e-07
chr1	2189491	2189702	site131	14.6545	-	6.68e-06
chr1	2207864	2208075	site132	14.8182	-	5.96e-06
chr1	2214688	2214899	site133	14.3091	-	9.3e-06
chr1	2229214	2229425	site134	14.3091	+	9.3e-06
chr1	2306122	2306333	site135	14.4545	+	8.34e-06
chr1	2322962	2323173	site136	15.1273	+	4.53e-06
chr1	2348488	2348699	site137	15.3273	+	3.34e-06
chr1	2404057	2404268	site138	15.5455	-	2.86e-06
chr1	2471230	2471441	site139	14.6182	-	7.63e-06
chr1	2543735	2543946	site140	16.7273	+	1.67e-06
chr1	2643092	2643303	site141	17.7273	-	7.15e-07
chr1	2643093	2643304	site142	15.1273	+	4.53e-06
chr1	2848105	2848316	site143	14.6182	-	7.63e-06
chr1	3090335	3090546	site144	15.5455	+	2.86e-06
chr1	3122078	3122289	site145	14.9636	+	5.25e-06
chr1	3247561	3247772	site146	14.4364	-	8.58e-06
chr1	3247562	3247773	site147	15.0364	+	5.01e-06
chr1	3252920	3253131	site148	15.0364	+	5.01e-06
chr1	3341464	3341675	site149	14.6364	+	6.91e-06
chr1	3408054	3408265	site150	18.2364	-	2.38e-07
chr1	3456244	3456455	site151	16.7455	-	1.43e-06
chr1	3462724	3462935	site152	14.6182	+	7.63e-06
chr1	3494896	3495107	site153	14.6182	+	7.63e-06
chr1	3593278	3593489	site154	15.1273	+	4.53e-06
chr1	3624697	3624908	site155	15.0364	+	5.01e-06
chr1	3627891	3628102	site156	14.8182	+	5.96e-06
chr1	3650735	3650946	site157	15.0364	-	5.01e-06
chr1	3747392	3747603	site158	15.0364	+	5.01e-06
chr1	3857124	3857335	site159	14.7273	-	6.44e-06
chr1	3857125	3857336	site160	16.7273	+	1.67e-06
chr1	3857155	3857366	site161	14.6182	-	7.63e-06
chr1	3857156	3857367	site162	18.2364	+	2.38e-07
chr1	3857302	3857513	site163	15.6364	+	2.62e-06
chr1	3964684	3964895	site164	14.3091	-	9.3e-06
chr1	4411934	4412145	site165	15.2364	+	3.58e-06
chr1	4629607	4629818	site166	14.6182	+	7.63e-06
chr1	5818809	5819020	site167	15.2364	+	3.58e-06
chr1	6045484	6045695	site168	14.7273	+	6.44e-06
chr1	6065042	6065253	site169	14.3091	-	9.3e-06
chr1	6065146	6065357	site170	14.6182	+	7.63e-06
chr1	6180755	6180966	site171	14.4545	-	8.34e-06
chr1	6218618	6218829	site172	16.4364	+	1.91e-06
chr1	6235872	6236083	site173	15.1273	-	4.53e-06
chr1	6235873	6236084	site174	18.2364	+	2.38e-07
chr1	6268460	6268671	site175	14.3091	-	9.3e-06
chr1	6278126	6278337	site176	14.3091	-	9.3e-06
chr1	6350273	6350484	site177	14.6182	+	7.63e-06
chr1	6419568	6419779	site178	14.9273	-	5.48e-06
chr1	6454897	6455108	site179	14.5273	+	8.11e-06
chr1	6461351	6461562	site180	15.1273	+	4.53e-06
chr1	6471070	6471281	site181	15.6545	-	2.38e-06
chr1	6490511	6490722	site182	14.5273	-	8.11e-06
chr1	6502480	6502691	site183	14.6182	+	7.63e-06
